State, 8589934592, STATE, 1.774841, 1.775217, 0.000376, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.775544, 1.776024, 0.000480, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.776333, 1.776746, 0.000413, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.777061, 1.777437, 0.000376, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.777782, 1.778156, 0.000374, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.778508, 1.778884, 0.000376, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.779255, 1.779631, 0.000376, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.779964, 1.780343, 0.000379, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.780667, 1.781044, 0.000377, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.781390, 1.781759, 0.000369, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.782105, 1.782511, 0.000406, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.782944, 1.783322, 0.000378, 15.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.784995, 1.785517, 0.000522, 12.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.785880, 1.840164, 0.054284, 12.000000, !$omp task @floorplan.c:530 <4>
State, 8589934592, STATE, 1.786308, 1.839997, 0.053689, 13.000000, !$omp atomic @floorplan.c:572 <7>
State, 8589934592, STATE, 1.786567, 1.787201, 0.000634, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.787392, 1.787870, 0.000478, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.788039, 1.788542, 0.000503, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.788700, 1.789198, 0.000498, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.789357, 1.789848, 0.000491, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.790006, 1.790489, 0.000483, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.790669, 1.791172, 0.000503, 14.000000, !$omp create task @floorplan.c:530 <3>
State, 8589934592, STATE, 1.791329, 1.791828, 0.000499, 14.000000, !$omp create task @floorplan.c:530 <3>
