Container, 0, 0, 0, 4.19993, 4.19993, 0
Container, 0, THREAD, 0, 4.19993, 4.19993, zero
State, 8589934592, STATE, 3.492360, 3.492765, 0.000405, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.493095, 3.493506, 0.000411, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.493844, 3.494290, 0.000446, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.494689, 3.495052, 0.000363, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.495453, 3.495818, 0.000365, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.496321, 3.496721, 0.000400, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.497084, 3.497448, 0.000364, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.497794, 3.498295, 0.000501, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.498717, 3.499189, 0.000472, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.499589, 3.500018, 0.000429, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.500394, 3.500783, 0.000389, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.501160, 3.501552, 0.000392, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.502092, 3.502496, 0.000404, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.502878, 3.503286, 0.000408, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.503641, 3.504026, 0.000385, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.504437, 3.504835, 0.000398, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.505235, 3.505613, 0.000378, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.505973, 3.506346, 0.000373, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.506706, 3.507086, 0.000380, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.507447, 3.507820, 0.000373, 9.000000, !$omp task @tied-floorplan.c:530 <4>
State, 8589934592, STATE, 3.508207, 3.508577, 0.000370, 9.000000, !$omp task @tied-floorplan.c:530 <4>
